IRL, T, +-, T-S, +-, K, +-, D/K, +-
162, 1.976E-17, 1.4%, 1.845E-17, 1.4%, 2.060E-17, 5.1%, 9.589E-01, 5.3%
163, 1.950E-17, 1.4%, 1.821E-17, 1.4%, 1.887E-17, 5.2%, 1.034E+00, 5.4%
164, 1.923E-17, 1.5%, 1.796E-17, 1.4%, 1.841E-17, 5.3%, 1.045E+00, 5.5%
165, 1.983E-17, 1.4%, 1.852E-17, 1.4%, 1.925E-17, 5.2%, 1.030E+00, 5.4%
166, 1.882E-17, 1.5%, 1.758E-17, 1.5%, 1.906E-17, 5.1%, 9.879E-01, 5.3%
167, 1.806E-17, 1.5%, 1.686E-17, 1.5%, 1.798E-17, 5.4%, 1.004E+00, 5.6%
168, 1.813E-17, 1.5%, 1.694E-17, 1.5%, 1.608E-17, 5.4%, 1.128E+00, 5.6%
169, 1.766E-17, 1.5%, 1.649E-17, 1.5%, 1.860E-17, 5.4%, 9.493E-01, 5.6%
170, 1.780E-17, 1.5%, 1.662E-17, 1.5%, 1.810E-17, 5.4%, 9.833E-01, 5.6%
171, 1.714E-17, 1.5%, 1.601E-17, 1.5%, 1.607E-17, 5.6%, 1.066E+00, 5.8%
172, 1.693E-17, 1.5%, 1.581E-17, 1.5%, 1.652E-17, 5.6%, 1.024E+00, 5.8%
173, 1.690E-17, 1.6%, 1.579E-17, 1.6%, 1.679E-17, 5.5%, 1.007E+00, 5.7%
174, 1.651E-17, 1.5%, 1.541E-17, 1.5%, 1.698E-17, 5.6%, 9.721E-01, 5.8%
175, 1.666E-17, 1.6%, 1.555E-17, 1.6%, 1.696E-17, 5.6%, 9.822E-01, 5.8%
176, 1.638E-17, 1.6%, 1.530E-17, 1.6%, 1.679E-17, 5.7%, 9.756E-01, 5.9%
177, 1.587E-17, 1.6%, 1.482E-17, 1.6%, 1.552E-17, 5.8%, 1.023E+00, 6.0%
178, 1.553E-17, 1.2%, 1.450E-17, 1.2%, 1.600E-17, 4.0%, 9.701E-01, 4.2%
179, 1.534E-17, 1.2%, 1.432E-17, 1.2%, 1.527E-17, 4.2%, 1.004E+00, 4.4%
