IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
7, TS, 4.049E-17, 2.6%, 3.994E-17, 1.7%, 3.991E-17, 1.4%, 3.937E-17, 1.2%, 3.935E-17, 1.1%, 3.894E-17, 1.0%, 3.875E-17, 0.9%, 3.839E-17, 0.8%, 3.813E-17, 0.8%, 3.787E-17, 0.8%, 3.725E-17, 0.7%, 3.674E-17, 0.7%, 3.617E-17, 0.7%, 3.530E-17, 0.7%, 3.460E-17, 0.6%, 3.392E-17, 0.6%, 3.294E-17, 0.6%, 3.221E-17, 0.6%, 3.127E-17, 0.6%, 3.053E-17, 0.6%, 2.969E-17, 0.6%, 2.855E-17, 0.6%, 2.774E-17, 0.6%, 2.671E-17, 0.6%, 2.586E-17, 0.6%, 2.473E-17, 0.6%, 2.373E-17, 0.5%, 2.291E-17, 0.5%, 2.189E-17, 0.5%, 2.076E-17, 0.6%, 1.980E-17, 0.6%, 1.884E-17, 0.6%, 1.796E-17, 0.6%, 1.691E-17, 0.6%, 1.579E-17, 0.6%, 1.495E-17, 0.6%, 1.404E-17, 0.6%, 1.319E-17, 0.6%, 1.245E-17, 0.6%, 1.172E-17, 0.6%, 1.107E-17, 0.6%, 1.038E-17, 0.6%, 9.852E-18, 0.6%, 9.216E-18, 0.6%, 8.632E-18, 0.6%, 8.083E-18, 0.6%, 7.600E-18, 0.6%, 7.144E-18, 0.6%, 6.802E-18, 0.6%, 6.439E-18, 0.6%, 6.130E-18, 0.7%, 5.802E-18, 0.7%, 5.456E-18, 0.7%, 5.147E-18, 0.7%, 4.853E-18, 0.7%, 4.605E-18, 0.7%, 4.368E-18, 0.7%, 4.116E-18, 0.7%, 3.822E-18, 0.7%, 3.453E-18, 0.7%
7, K, 9.242E-17, 13.6%, 9.891E-17, 7.3%, 9.943E-17, 5.7%, 9.207E-17, 4.9%, 9.739E-17, 4.3%, 1.005E-16, 3.9%, 9.200E-17, 3.7%, 9.185E-17, 3.4%, 9.613E-17, 3.2%, 9.359E-17, 3.1%, 9.232E-17, 2.9%, 8.822E-17, 2.8%, 8.769E-17, 2.7%, 8.665E-17, 2.7%, 8.625E-17, 2.6%, 8.022E-17, 2.5%, 7.815E-17, 2.5%, 7.591E-17, 2.5%, 7.437E-17, 2.4%, 6.857E-17, 2.4%, 6.453E-17, 2.5%, 6.284E-17, 2.5%, 6.143E-17, 2.4%, 5.708E-17, 2.4%, 5.374E-17, 2.5%, 5.302E-17, 2.5%, 4.843E-17, 2.5%, 4.423E-17, 2.6%, 4.318E-17, 2.6%, 3.886E-17, 2.7%, 3.456E-17, 2.8%, 3.527E-17, 2.7%, 3.000E-17, 2.9%, 2.760E-17, 3.0%, 2.371E-17, 3.1%, 2.007E-17, 3.4%, 1.723E-17, 3.6%, 1.461E-17, 3.9%, 1.289E-17, 4.0%, 1.091E-17, 4.4%, 9.043E-18, 4.7%, 7.554E-18, 5.2%, 5.577E-18, 5.8%, 4.854E-18, 6.2%, 3.887E-18, 6.7%, 3.149E-18, 7.6%, 2.141E-18, 8.6%, 1.820E-18, 9.2%, 1.196E-18, 10.7%, 1.083E-18, 10.8%, 7.693E-19, 11.5%, 9.286E-19, 10.7%, 6.573E-19, 12.0%, 5.711E-19, 12.3%, 6.183E-19, 12.0%, 4.904E-19, 12.1%, 6.357E-19, 10.7%, 5.124E-19, 11.6%, 4.954E-19, 11.1%, 3.754E-19, 12.1%
7, DK, 4.696E-01, 13.8%, 4.323E-01, 7.5%, 4.296E-01, 5.8%, 4.576E-01, 5.1%, 4.328E-01, 4.4%, 4.148E-01, 4.0%, 4.510E-01, 3.8%, 4.474E-01, 3.6%, 4.243E-01, 3.3%, 4.332E-01, 3.2%, 4.321E-01, 3.0%, 4.459E-01, 2.9%, 4.417E-01, 2.8%, 4.361E-01, 2.7%, 4.296E-01, 2.7%, 4.527E-01, 2.6%, 4.513E-01, 2.6%, 4.542E-01, 2.6%, 4.503E-01, 2.5%, 4.767E-01, 2.5%, 4.925E-01, 2.5%, 4.861E-01, 2.5%, 4.834E-01, 2.5%, 5.008E-01, 2.5%, 5.152E-01, 2.6%, 4.991E-01, 2.5%, 5.244E-01, 2.6%, 5.544E-01, 2.6%, 5.425E-01, 2.6%, 5.719E-01, 2.7%, 6.133E-01, 2.9%, 5.718E-01, 2.8%, 6.411E-01, 2.9%, 6.553E-01, 3.0%, 7.129E-01, 3.2%, 7.974E-01, 3.4%, 8.720E-01, 3.6%, 9.665E-01, 3.9%, 1.034E+00, 4.1%, 1.149E+00, 4.4%, 1.310E+00, 4.7%, 1.471E+00, 5.2%, 1.891E+00, 5.8%, 2.033E+00, 6.3%, 2.377E+00, 6.7%, 2.748E+00, 7.6%, 3.799E+00, 8.6%, 4.200E+00, 9.2%, 6.085E+00, 10.7%, 6.360E+00, 10.9%, 8.530E+00, 11.5%, 6.688E+00, 10.8%, 8.885E+00, 12.0%, 9.647E+00, 12.3%, 8.399E+00, 12.0%, 1.005E+01, 12.1%, 7.348E+00, 10.7%, 8.596E+00, 11.7%, 8.252E+00, 11.1%, 9.833E+00, 12.2%
8, T, 3.246E-17, 11.6%, 3.344E-17, 6.8%, 3.576E-17, 5.2%, 3.230E-17, 4.3%, 3.337E-17, 3.9%, 3.269E-17, 3.6%, 3.592E-17, 3.2%, 3.287E-17, 3.2%, 3.215E-17, 2.9%, 3.256E-17, 2.8%, 3.122E-17, 2.6%, 3.101E-17, 2.5%, 3.110E-17, 2.5%, 3.010E-17, 2.4%, 2.978E-17, 2.4%, 2.949E-17, 2.3%, 2.805E-17, 2.2%, 2.775E-17, 2.2%, 2.616E-17, 2.1%, 2.563E-17, 2.1%, 2.525E-17, 2.1%, 2.481E-17, 2.1%, 2.427E-17, 2.1%, 2.365E-17, 2.0%, 2.231E-17, 2.1%, 2.183E-17, 2.0%, 2.090E-17, 2.0%, 1.928E-17, 2.0%, 1.868E-17, 2.0%, 1.822E-17, 2.0%, 1.722E-17, 2.0%, 1.618E-17, 2.1%, 1.533E-17, 2.0%, 1.499E-17, 2.0%, 1.440E-17, 2.1%, 1.362E-17, 2.1%, 1.313E-17, 2.1%, 1.194E-17, 2.1%, 1.138E-17, 2.2%, 1.075E-17, 2.2%, 1.026E-17, 2.3%, 9.457E-18, 2.3%, 8.936E-18, 2.2%, 8.719E-18, 2.3%, 8.124E-18, 2.3%, 7.875E-18, 2.4%, 7.189E-18, 2.4%, 6.888E-18, 2.5%, 6.416E-18, 2.4%, 6.096E-18, 2.5%, 5.950E-18, 2.5%, 5.627E-18, 2.4%, 5.362E-18, 2.5%, 5.401E-18, 2.6%, 4.935E-18, 2.5%, 4.743E-18, 2.6%, 4.536E-18, 2.7%, 4.115E-18, 2.7%, 3.809E-18, 2.6%, 3.480E-18, 2.5%
8, TS, 3.044E-17, 11.5%, 3.122E-17, 6.7%, 3.345E-17, 5.1%, 3.009E-17, 4.3%, 3.110E-17, 3.8%, 3.050E-17, 3.6%, 3.359E-17, 3.2%, 3.074E-17, 3.1%, 3.000E-17, 2.9%, 3.035E-17, 2.8%, 2.919E-17, 2.6%, 2.902E-17, 2.5%, 2.907E-17, 2.5%, 2.807E-17, 2.4%, 2.780E-17, 2.3%, 2.752E-17, 2.3%, 2.615E-17, 2.2%, 2.597E-17, 2.2%, 2.442E-17, 2.1%, 2.394E-17, 2.1%, 2.358E-17, 2.1%, 2.318E-17, 2.1%, 2.268E-17, 2.0%, 2.207E-17, 2.0%, 2.083E-17, 2.1%, 2.038E-17, 2.0%, 1.952E-17, 2.0%, 1.803E-17, 2.0%, 1.746E-17, 2.0%, 1.701E-17, 2.0%, 1.606E-17, 2.0%, 1.513E-17, 2.1%, 1.430E-17, 2.0%, 1.401E-17, 2.0%, 1.344E-17, 2.1%, 1.271E-17, 2.1%, 1.228E-17, 2.1%, 1.114E-17, 2.1%, 1.062E-17, 2.2%, 1.004E-17, 2.2%, 9.604E-18, 2.3%, 8.838E-18, 2.3%, 8.362E-18, 2.2%, 8.136E-18, 2.2%, 7.600E-18, 2.3%, 7.356E-18, 2.4%, 6.718E-18, 2.4%, 6.439E-18, 2.4%, 6.009E-18, 2.4%, 5.693E-18, 2.5%, 5.568E-18, 2.5%, 5.259E-18, 2.4%, 5.016E-18, 2.5%, 5.051E-18, 2.5%, 4.606E-18, 2.5%, 4.419E-18, 2.6%, 4.242E-18, 2.7%, 3.849E-18, 2.6%, 3.569E-18, 2.5%, 3.259E-18, 2.5%
8, K, 1.268E-16, 48.9%, 6.940E-17, 37.9%, 1.193E-16, 24.0%, 1.127E-16, 19.2%, 8.060E-17, 20.5%, 7.811E-17, 18.1%, 7.438E-17, 17.5%, 1.308E-16, 13.4%, 8.701E-17, 14.3%, 9.602E-17, 12.9%, 7.661E-17, 13.7%, 9.654E-17, 11.7%, 9.690E-17, 11.8%, 8.938E-17, 12.3%, 7.762E-17, 11.9%, 8.684E-17, 11.2%, 7.382E-17, 11.5%, 7.795E-17, 10.6%, 8.265E-17, 10.4%, 7.400E-17, 10.5%, 5.424E-17, 11.4%, 5.392E-17, 11.5%, 5.845E-17, 11.0%, 6.921E-17, 10.2%, 5.721E-17, 10.6%, 5.786E-17, 10.8%, 4.723E-17, 10.7%, 4.035E-17, 12.0%, 3.878E-17, 11.9%, 4.147E-17, 10.8%, 4.005E-17, 11.4%, 3.145E-17, 12.5%, 3.084E-17, 12.1%, 2.789E-17, 13.7%, 2.150E-17, 15.2%, 1.948E-17, 14.5%, 1.696E-17, 14.5%, 1.191E-17, 18.5%, 1.326E-17, 18.5%, 8.791E-18, 19.6%, 1.181E-17, 17.7%, 8.101E-18, 22.2%, 5.384E-18, 23.5%, 3.011E-18, 37.5%, 2.901E-18, 27.1%, 1.922E-18, 41.4%, 2.859E-18, 29.4%, 1.040E-18, 52.5%, 7.860E-19, 44.8%, 2.382E-18, 39.2%, 1.052E-18, 45.4%, 1.468E-19, 48.5%, 3.373E-19, 46.5%, 4.753E-19, 48.7%, 7.111E-19, 47.1%, 6.148E-19, 48.1%, 4.342E-19, 50.5%, 3.235E-19, 57.7%, 1.497E-19, 67.5%, 4.077E-19, 41.6%
8, DK, 2.560E-01, 50.2%, 4.819E-01, 38.5%, 2.997E-01, 24.6%, 2.867E-01, 19.7%, 4.140E-01, 20.9%, 4.184E-01, 18.5%, 4.830E-01, 17.8%, 2.513E-01, 13.8%, 3.695E-01, 14.6%, 3.391E-01, 13.2%, 4.076E-01, 13.9%, 3.212E-01, 12.0%, 3.209E-01, 12.0%, 3.367E-01, 12.6%, 3.837E-01, 12.1%, 3.396E-01, 11.4%, 3.800E-01, 11.7%, 3.560E-01, 10.9%, 3.165E-01, 10.6%, 3.464E-01, 10.7%, 4.656E-01, 11.6%, 4.601E-01, 11.7%, 4.152E-01, 11.2%, 3.417E-01, 10.4%, 3.899E-01, 10.8%, 3.773E-01, 11.0%, 4.426E-01, 10.9%, 4.777E-01, 12.2%, 4.818E-01, 12.0%, 4.394E-01, 11.0%, 4.299E-01, 11.6%, 5.144E-01, 12.7%, 4.972E-01, 12.3%, 5.377E-01, 13.8%, 6.696E-01, 15.3%, 6.989E-01, 14.7%, 7.744E-01, 14.6%, 1.002E+00, 18.6%, 8.583E-01, 18.7%, 1.223E+00, 19.7%, 8.694E-01, 17.8%, 1.167E+00, 22.3%, 1.660E+00, 23.6%, 2.895E+00, 37.6%, 2.801E+00, 27.2%, 4.097E+00, 41.5%, 2.515E+00, 29.5%, 6.622E+00, 52.5%, 8.162E+00, 44.9%, 2.559E+00, 39.3%, 5.658E+00, 45.5%, 3.832E+01, 48.5%, 1.589E+01, 46.5%, 1.136E+01, 48.7%, 6.940E+00, 47.2%, 7.714E+00, 48.2%, 1.045E+01, 50.6%, 1.272E+01, 57.8%, 2.545E+01, 67.6%, 8.536E+00, 41.7%
9, T, 3.248E-17, 3.2%, 3.262E-17, 2.1%, 3.214E-17, 1.6%, 3.232E-17, 1.4%, 3.222E-17, 1.3%, 3.172E-17, 1.1%, 3.143E-17, 1.1%, 3.112E-17, 1.0%, 3.089E-17, 0.9%, 3.012E-17, 0.9%, 3.013E-17, 0.9%, 2.974E-17, 0.8%, 2.912E-17, 0.8%, 2.874E-17, 0.8%, 2.807E-17, 0.8%, 2.711E-17, 0.7%, 2.682E-17, 0.7%, 2.618E-17, 0.7%, 2.563E-17, 0.7%, 2.504E-17, 0.7%, 2.435E-17, 0.7%, 2.359E-17, 0.7%, 2.278E-17, 0.7%, 2.214E-17, 0.7%, 2.127E-17, 0.7%, 2.049E-17, 0.6%, 1.978E-17, 0.6%, 1.892E-17, 0.6%, 1.827E-17, 0.6%, 1.738E-17, 0.6%, 1.667E-17, 0.6%, 1.578E-17, 0.7%, 1.507E-17, 0.7%, 1.430E-17, 0.7%, 1.340E-17, 0.7%, 1.281E-17, 0.7%, 1.215E-17, 0.7%, 1.147E-17, 0.7%, 1.065E-17, 0.7%, 1.003E-17, 0.7%, 9.475E-18, 0.7%, 9.043E-18, 0.7%, 8.468E-18, 0.7%, 7.984E-18, 0.7%, 7.588E-18, 0.7%, 7.122E-18, 0.7%, 6.749E-18, 0.7%, 6.400E-18, 0.7%, 6.090E-18, 0.7%, 5.793E-18, 0.7%, 5.516E-18, 0.8%, 5.233E-18, 0.8%, 5.026E-18, 0.8%, 4.771E-18, 0.8%, 4.471E-18, 0.8%, 4.264E-18, 0.8%, 3.985E-18, 0.8%, 3.825E-18, 0.8%, 3.555E-18, 0.8%, 3.207E-18, 0.7%
9, TS, 3.031E-17, 3.2%, 3.047E-17, 2.1%, 3.001E-17, 1.6%, 3.018E-17, 1.4%, 3.007E-17, 1.2%, 2.963E-17, 1.1%, 2.935E-17, 1.1%, 2.905E-17, 1.0%, 2.883E-17, 0.9%, 2.812E-17, 0.9%, 2.812E-17, 0.9%, 2.775E-17, 0.8%, 2.718E-17, 0.8%, 2.683E-17, 0.8%, 2.622E-17, 0.7%, 2.532E-17, 0.7%, 2.504E-17, 0.7%, 2.445E-17, 0.7%, 2.394E-17, 0.7%, 2.336E-17, 0.7%, 2.274E-17, 0.7%, 2.202E-17, 0.7%, 2.127E-17, 0.7%, 2.068E-17, 0.7%, 1.986E-17, 0.6%, 1.912E-17, 0.6%, 1.846E-17, 0.6%, 1.767E-17, 0.6%, 1.706E-17, 0.6%, 1.622E-17, 0.6%, 1.557E-17, 0.6%, 1.473E-17, 0.6%, 1.407E-17, 0.7%, 1.334E-17, 0.7%, 1.251E-17, 0.7%, 1.196E-17, 0.7%, 1.135E-17, 0.7%, 1.072E-17, 0.7%, 9.955E-18, 0.7%, 9.370E-18, 0.7%, 8.854E-18, 0.7%, 8.445E-18, 0.7%, 7.915E-18, 0.7%, 7.460E-18, 0.7%, 7.085E-18, 0.7%, 6.656E-18, 0.7%, 6.306E-18, 0.7%, 5.982E-18, 0.7%, 5.690E-18, 0.7%, 5.414E-18, 0.7%, 5.153E-18, 0.7%, 4.892E-18, 0.8%, 4.697E-18, 0.8%, 4.457E-18, 0.8%, 4.183E-18, 0.8%, 3.984E-18, 0.8%, 3.727E-18, 0.8%, 3.576E-18, 0.8%, 3.326E-18, 0.8%, 3.000E-18, 0.7%
9, K, 1.090E-16, 12.8%, 1.014E-16, 7.3%, 8.870E-17, 6.2%, 9.605E-17, 4.9%, 8.926E-17, 4.5%, 9.133E-17, 4.1%, 9.127E-17, 3.7%, 8.901E-17, 3.5%, 8.896E-17, 3.3%, 9.067E-17, 3.1%, 8.545E-17, 3.0%, 8.393E-17, 2.9%, 8.339E-17, 2.8%, 8.394E-17, 2.7%, 7.999E-17, 2.7%, 7.891E-17, 2.6%, 7.906E-17, 2.5%, 7.360E-17, 2.6%, 7.109E-17, 2.5%, 6.900E-17, 2.5%, 6.316E-17, 2.5%, 6.198E-17, 2.5%, 5.989E-17, 2.5%, 5.699E-17, 2.5%, 5.404E-17, 2.5%, 5.055E-17, 2.5%, 4.711E-17, 2.6%, 4.722E-17, 2.5%, 4.153E-17, 2.6%, 3.980E-17, 2.7%, 3.484E-17, 2.7%, 3.062E-17, 2.8%, 3.011E-17, 2.9%, 2.621E-17, 3.0%, 2.362E-17, 3.2%, 2.119E-17, 3.3%, 1.835E-17, 3.5%, 1.628E-17, 3.8%, 1.262E-17, 4.0%, 1.015E-17, 4.4%, 8.496E-18, 4.7%, 7.542E-18, 5.2%, 6.356E-18, 5.5%, 4.744E-18, 6.3%, 3.868E-18, 6.9%, 3.050E-18, 7.7%, 2.013E-18, 8.8%, 1.657E-18, 9.9%, 1.319E-18, 10.3%, 1.065E-18, 11.2%, 7.963E-19, 13.2%, 8.096E-19, 13.3%, 5.620E-19, 13.5%, 5.273E-19, 14.6%, 3.177E-19, 15.2%, 4.059E-19, 13.9%, 4.326E-19, 12.1%, 5.113E-19, 13.6%, 4.031E-19, 11.7%, 3.838E-19, 12.6%
9, DK, 2.981E-01, 13.2%, 3.215E-01, 7.6%, 3.623E-01, 6.4%, 3.365E-01, 5.1%, 3.610E-01, 4.6%, 3.473E-01, 4.2%, 3.444E-01, 3.9%, 3.497E-01, 3.7%, 3.473E-01, 3.4%, 3.321E-01, 3.2%, 3.526E-01, 3.1%, 3.543E-01, 3.0%, 3.492E-01, 2.9%, 3.424E-01, 2.8%, 3.509E-01, 2.8%, 3.435E-01, 2.7%, 3.392E-01, 2.6%, 3.557E-01, 2.6%, 3.606E-01, 2.6%, 3.629E-01, 2.6%, 3.854E-01, 2.6%, 3.806E-01, 2.6%, 3.803E-01, 2.5%, 3.886E-01, 2.6%, 3.935E-01, 2.6%, 4.054E-01, 2.6%, 4.198E-01, 2.6%, 4.008E-01, 2.6%, 4.400E-01, 2.7%, 4.367E-01, 2.7%, 4.786E-01, 2.8%, 5.153E-01, 2.9%, 5.004E-01, 3.0%, 5.455E-01, 3.1%, 5.671E-01, 3.3%, 6.042E-01, 3.4%, 6.621E-01, 3.6%, 7.049E-01, 3.8%, 8.440E-01, 4.0%, 9.879E-01, 4.4%, 1.115E+00, 4.8%, 1.199E+00, 5.2%, 1.332E+00, 5.5%, 1.683E+00, 6.3%, 1.962E+00, 7.0%, 2.335E+00, 7.7%, 3.353E+00, 8.8%, 3.863E+00, 9.9%, 4.617E+00, 10.3%, 5.439E+00, 11.3%, 6.928E+00, 13.2%, 6.463E+00, 13.3%, 8.943E+00, 13.5%, 9.048E+00, 14.6%, 1.407E+01, 15.2%, 1.050E+01, 14.0%, 9.212E+00, 12.1%, 7.480E+00, 13.6%, 8.818E+00, 11.7%, 8.356E+00, 12.6%
10, T, 2.539E-17, 11.8%, 3.234E-17, 7.8%, 3.162E-17, 5.6%, 2.881E-17, 4.9%, 3.086E-17, 4.0%, 3.111E-17, 4.0%, 3.001E-17, 3.5%, 2.908E-17, 3.3%, 2.894E-17, 3.1%, 2.939E-17, 2.9%, 2.826E-17, 2.8%, 2.864E-17, 2.6%, 2.816E-17, 2.6%, 2.679E-17, 2.5%, 2.677E-17, 2.5%, 2.647E-17, 2.4%, 2.515E-17, 2.4%, 2.569E-17, 2.4%, 2.425E-17, 2.3%, 2.384E-17, 2.2%, 2.360E-17, 2.2%, 2.285E-17, 2.2%, 2.252E-17, 2.2%, 2.130E-17, 2.1%, 1.979E-17, 2.2%, 1.925E-17, 2.2%, 1.894E-17, 2.2%, 1.868E-17, 2.2%, 1.789E-17, 2.2%, 1.632E-17, 2.2%, 1.579E-17, 2.1%, 1.496E-17, 2.1%, 1.481E-17, 2.1%, 1.432E-17, 2.2%, 1.301E-17, 2.2%, 1.202E-17, 2.2%, 1.128E-17, 2.2%, 1.060E-17, 2.3%, 1.004E-17, 2.4%, 9.459E-18, 2.4%, 9.296E-18, 2.4%, 8.753E-18, 2.5%, 7.677E-18, 2.4%, 7.301E-18, 2.5%, 7.152E-18, 2.4%, 6.665E-18, 2.5%, 6.612E-18, 2.6%, 6.013E-18, 2.6%, 5.925E-18, 2.6%, 5.539E-18, 2.6%, 4.992E-18, 2.7%, 4.782E-18, 2.7%, 4.395E-18, 2.8%, 4.413E-18, 2.8%, 4.167E-18, 2.7%, 4.005E-18, 3.1%, 3.753E-18, 2.9%, 3.603E-18, 3.0%, 3.245E-18, 2.9%, 2.991E-18, 2.9%
10, TS, 2.380E-17, 11.7%, 3.021E-17, 7.7%, 2.949E-17, 5.5%, 2.694E-17, 4.9%, 2.890E-17, 4.0%, 2.909E-17, 3.9%, 2.811E-17, 3.5%, 2.709E-17, 3.2%, 2.700E-17, 3.0%, 2.741E-17, 2.9%, 2.636E-17, 2.8%, 2.675E-17, 2.6%, 2.630E-17, 2.6%, 2.505E-17, 2.5%, 2.498E-17, 2.5%, 2.471E-17, 2.4%, 2.352E-17, 2.3%, 2.395E-17, 2.4%, 2.261E-17, 2.2%, 2.224E-17, 2.2%, 2.205E-17, 2.1%, 2.136E-17, 2.1%, 2.099E-17, 2.2%, 1.985E-17, 2.1%, 1.847E-17, 2.2%, 1.798E-17, 2.1%, 1.767E-17, 2.2%, 1.741E-17, 2.2%, 1.668E-17, 2.2%, 1.521E-17, 2.1%, 1.475E-17, 2.1%, 1.397E-17, 2.1%, 1.383E-17, 2.1%, 1.336E-17, 2.2%, 1.216E-17, 2.1%, 1.124E-17, 2.2%, 1.055E-17, 2.2%, 9.905E-18, 2.3%, 9.396E-18, 2.3%, 8.861E-18, 2.3%, 8.691E-18, 2.4%, 8.162E-18, 2.5%, 7.164E-18, 2.4%, 6.828E-18, 2.5%, 6.686E-18, 2.4%, 6.221E-18, 2.5%, 6.182E-18, 2.5%, 5.632E-18, 2.6%, 5.537E-18, 2.6%, 5.162E-18, 2.6%, 4.670E-18, 2.7%, 4.469E-18, 2.7%, 4.114E-18, 2.7%, 4.115E-18, 2.8%, 3.891E-18, 2.7%, 3.738E-18, 3.0%, 3.513E-18, 2.9%, 3.357E-18, 3.0%, 3.030E-18, 2.9%, 2.794E-18, 2.8%
10, K, 5.071E-17, 61.7%, 6.900E-17, 37.1%, 7.083E-17, 32.6%, 8.795E-17, 22.5%, 1.176E-16, 17.4%, 7.114E-17, 19.3%, 1.041E-16, 15.8%, 9.622E-17, 16.3%, 7.017E-17, 15.2%, 7.583E-17, 13.3%, 8.044E-17, 13.8%, 8.922E-17, 13.0%, 9.379E-17, 12.2%, 6.626E-17, 12.8%, 9.203E-17, 11.2%, 7.820E-17, 10.9%, 7.602E-17, 11.1%, 7.593E-17, 11.5%, 6.970E-17, 11.4%, 6.954E-17, 10.5%, 7.662E-17, 10.1%, 5.833E-17, 11.7%, 6.792E-17, 10.2%, 6.252E-17, 10.5%, 5.642E-17, 10.5%, 4.110E-17, 12.4%, 5.652E-17, 10.6%, 3.672E-17, 12.3%, 4.147E-17, 11.6%, 4.379E-17, 10.9%, 3.447E-17, 12.2%, 2.704E-17, 12.9%, 3.248E-17, 13.1%, 3.290E-17, 12.6%, 2.171E-17, 14.0%, 2.560E-17, 13.7%, 1.902E-17, 16.5%, 1.785E-17, 15.0%, 1.484E-17, 16.4%, 1.043E-17, 18.8%, 5.259E-18, 24.7%, 6.745E-18, 22.1%, 5.530E-18, 24.2%, 6.186E-18, 25.4%, 3.183E-18, 33.3%, 1.348E-18, 31.1%, 1.931E-18, 43.3%, 1.726E-18, 45.5%, 1.000E-18, 46.0%, 7.692E-19, 53.1%, 7.949E-19, 49.8%, 4.366E-19, 60.4%, 1.032E-19, 80.7%, 3.799E-19, 63.2%, 2.836E-19, 77.2%, 4.495E-19, 68.5%, 2.221E-19, 45.5%, 2.204E-19, 61.2%, 3.075E-19, 46.1%, 4.935E-19, 41.6%
10, DK, 5.008E-01, 62.8%, 4.686E-01, 37.9%, 4.464E-01, 33.1%, 3.276E-01, 23.0%, 2.624E-01, 17.8%, 4.374E-01, 19.7%, 2.884E-01, 16.2%, 3.022E-01, 16.6%, 4.124E-01, 15.5%, 3.875E-01, 13.6%, 3.513E-01, 14.1%, 3.211E-01, 13.3%, 3.002E-01, 12.5%, 4.043E-01, 13.0%, 2.909E-01, 11.5%, 3.385E-01, 11.2%, 3.308E-01, 11.4%, 3.383E-01, 11.8%, 3.479E-01, 11.6%, 3.428E-01, 10.7%, 3.081E-01, 10.4%, 3.918E-01, 11.9%, 3.316E-01, 10.4%, 3.407E-01, 10.7%, 3.509E-01, 10.8%, 4.683E-01, 12.6%, 3.352E-01, 10.9%, 5.086E-01, 12.5%, 4.314E-01, 11.8%, 3.728E-01, 11.1%, 4.581E-01, 12.4%, 5.534E-01, 13.1%, 4.559E-01, 13.2%, 4.354E-01, 12.8%, 5.992E-01, 14.2%, 4.697E-01, 13.9%, 5.931E-01, 16.6%, 5.937E-01, 15.1%, 6.768E-01, 16.6%, 9.066E-01, 18.9%, 1.768E+00, 24.8%, 1.298E+00, 22.2%, 1.388E+00, 24.4%, 1.180E+00, 25.5%, 2.247E+00, 33.4%, 4.943E+00, 31.2%, 3.424E+00, 43.4%, 3.484E+00, 45.6%, 5.924E+00, 46.1%, 7.201E+00, 53.2%, 6.280E+00, 49.9%, 1.095E+01, 60.5%, 4.257E+01, 80.8%, 1.162E+01, 63.2%, 1.470E+01, 77.2%, 8.909E+00, 68.6%, 1.689E+01, 45.6%, 1.635E+01, 61.3%, 1.055E+01, 46.2%, 6.060E+00, 41.7%
