IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
53, 1.197E-07, 0.7%, 1.170E+00, 0.6%, 1.163E-05, 0.4%, 1.861E+00, 0.3%, 1.540E-09, 5.5%, 1.328E+00, 3.2%, 1.142E-07, 0.7%, 1.219E+00, 0.6%, 1.163E-05, 0.4%, 1.861E+00, 0.3%, 1.540E-09, 5.5%, 1.328E+00, 3.2%
54, 1.064E-07, 0.7%, 1.166E+00, 0.6%, 1.151E-05, 0.4%, 1.864E+00, 0.3%, 1.333E-09, 5.9%, 1.368E+00, 3.8%, 1.013E-07, 0.7%, 1.216E+00, 0.6%, 1.151E-05, 0.4%, 1.864E+00, 0.3%, 1.333E-09, 5.9%, 1.368E+00, 3.8%
55, 9.772E-08, 0.7%, 1.152E+00, 0.7%, 1.142E-05, 0.4%, 1.866E+00, 0.3%, 1.224E-09, 6.2%, 1.331E+00, 3.9%, 9.300E-08, 0.7%, 1.202E+00, 0.7%, 1.142E-05, 0.4%, 1.866E+00, 0.3%, 1.224E-09, 6.2%, 1.331E+00, 3.9%
56, 9.368E-08, 0.7%, 1.139E+00, 0.7%, 1.132E-05, 0.4%, 1.869E+00, 0.3%, 1.126E-09, 6.5%, 1.403E+00, 4.6%, 8.942E-08, 0.8%, 1.186E+00, 0.7%, 1.132E-05, 0.4%, 1.869E+00, 0.3%, 1.126E-09, 6.5%, 1.403E+00, 4.6%
57, 8.984E-08, 0.8%, 1.132E+00, 0.7%, 1.124E-05, 0.4%, 1.870E+00, 0.3%, 1.188E-09, 6.3%, 1.439E+00, 4.0%, 8.566E-08, 0.8%, 1.179E+00, 0.7%, 1.124E-05, 0.4%, 1.870E+00, 0.3%, 1.188E-09, 6.3%, 1.439E+00, 4.0%
58, 8.870E-08, 0.8%, 1.129E+00, 0.7%, 1.115E-05, 0.5%, 1.871E+00, 0.3%, 1.188E-09, 6.4%, 1.386E+00, 4.3%, 8.447E-08, 0.8%, 1.178E+00, 0.7%, 1.115E-05, 0.5%, 1.871E+00, 0.3%, 1.188E-09, 6.4%, 1.386E+00, 4.3%
59, 8.850E-08, 0.8%, 1.125E+00, 0.7%, 1.108E-05, 0.5%, 1.873E+00, 0.3%, 1.200E-09, 6.4%, 1.479E+00, 3.9%, 8.446E-08, 0.8%, 1.171E+00, 0.7%, 1.108E-05, 0.5%, 1.873E+00, 0.3%, 1.200E-09, 6.4%, 1.479E+00, 3.9%
60, 8.631E-08, 0.8%, 1.124E+00, 0.7%, 1.101E-05, 0.5%, 1.875E+00, 0.3%, 1.137E-09, 6.6%, 1.394E+00, 3.9%, 8.222E-08, 0.8%, 1.172E+00, 0.7%, 1.101E-05, 0.5%, 1.875E+00, 0.3%, 1.137E-09, 6.6%, 1.394E+00, 3.9%
61, 8.696E-08, 0.8%, 1.117E+00, 0.7%, 1.093E-05, 0.5%, 1.876E+00, 0.3%, 1.221E-09, 6.5%, 1.414E+00, 3.8%, 8.293E-08, 0.8%, 1.164E+00, 0.7%, 1.093E-05, 0.5%, 1.876E+00, 0.3%, 1.221E-09, 6.5%, 1.414E+00, 3.8%
62, 8.415E-08, 0.8%, 1.136E+00, 0.7%, 1.085E-05, 0.5%, 1.878E+00, 0.3%, 1.201E-09, 6.3%, 1.490E+00, 3.9%, 8.040E-08, 0.8%, 1.181E+00, 0.7%, 1.085E-05, 0.5%, 1.878E+00, 0.3%, 1.201E-09, 6.3%, 1.490E+00, 3.9%
63, 8.450E-08, 0.8%, 1.128E+00, 0.7%, 1.077E-05, 0.5%, 1.879E+00, 0.3%, 1.028E-09, 6.7%, 1.376E+00, 4.1%, 8.058E-08, 0.8%, 1.174E+00, 0.7%, 1.077E-05, 0.5%, 1.879E+00, 0.3%, 1.028E-09, 6.7%, 1.376E+00, 4.1%
64, 8.363E-08, 0.8%, 1.133E+00, 0.7%, 1.069E-05, 0.5%, 1.881E+00, 0.3%, 1.049E-09, 6.6%, 1.276E+00, 4.1%, 7.993E-08, 0.8%, 1.178E+00, 0.7%, 1.069E-05, 0.5%, 1.881E+00, 0.3%, 1.049E-09, 6.6%, 1.276E+00, 4.1%
65, 8.349E-08, 0.8%, 1.131E+00, 0.7%, 1.062E-05, 0.5%, 1.883E+00, 0.3%, 9.844E-10, 7.1%, 1.557E+00, 4.0%, 7.957E-08, 0.8%, 1.179E+00, 0.7%, 1.062E-05, 0.5%, 1.883E+00, 0.3%, 9.844E-10, 7.1%, 1.557E+00, 4.0%
66, 8.464E-08, 0.8%, 1.147E+00, 0.7%, 1.054E-05, 0.5%, 1.884E+00, 0.3%, 1.106E-09, 6.6%, 1.397E+00, 4.1%, 8.067E-08, 0.8%, 1.195E+00, 0.7%, 1.054E-05, 0.5%, 1.885E+00, 0.3%, 1.106E-09, 6.6%, 1.397E+00, 4.1%
67, 8.317E-08, 0.8%, 1.141E+00, 0.7%, 1.046E-05, 0.5%, 1.886E+00, 0.3%, 1.046E-09, 6.6%, 1.398E+00, 4.4%, 7.942E-08, 0.8%, 1.188E+00, 0.7%, 1.046E-05, 0.5%, 1.886E+00, 0.3%, 1.046E-09, 6.6%, 1.398E+00, 4.4%
68, 8.165E-08, 0.8%, 1.128E+00, 0.8%, 1.039E-05, 0.5%, 1.888E+00, 0.3%, 1.060E-09, 6.4%, 1.351E+00, 4.3%, 7.791E-08, 0.8%, 1.175E+00, 0.7%, 1.039E-05, 0.5%, 1.888E+00, 0.3%, 1.060E-09, 6.4%, 1.351E+00, 4.3%
69, 8.085E-08, 0.8%, 1.118E+00, 0.7%, 1.032E-05, 0.5%, 1.888E+00, 0.3%, 9.860E-10, 6.8%, 1.428E+00, 4.2%, 7.700E-08, 0.8%, 1.167E+00, 0.7%, 1.032E-05, 0.5%, 1.888E+00, 0.3%, 9.860E-10, 6.8%, 1.428E+00, 4.2%
70, 8.141E-08, 0.8%, 1.115E+00, 0.7%, 1.025E-05, 0.5%, 1.889E+00, 0.3%, 1.000E-09, 6.7%, 1.350E+00, 4.3%, 7.755E-08, 0.8%, 1.163E+00, 0.7%, 1.025E-05, 0.5%, 1.889E+00, 0.3%, 1.000E-09, 6.7%, 1.350E+00, 4.3%
71, 7.993E-08, 0.8%, 1.132E+00, 0.7%, 1.018E-05, 0.5%, 1.890E+00, 0.3%, 1.041E-09, 6.6%, 1.333E+00, 4.4%, 7.624E-08, 0.8%, 1.180E+00, 0.7%, 1.018E-05, 0.5%, 1.890E+00, 0.3%, 1.041E-09, 6.6%, 1.333E+00, 4.4%
72, 8.094E-08, 0.8%, 1.142E+00, 0.8%, 1.010E-05, 0.5%, 1.891E+00, 0.3%, 1.207E-09, 6.5%, 1.416E+00, 4.1%, 7.730E-08, 0.8%, 1.189E+00, 0.7%, 1.010E-05, 0.5%, 1.891E+00, 0.3%, 1.207E-09, 6.5%, 1.416E+00, 4.1%
73, 8.056E-08, 0.8%, 1.137E+00, 0.8%, 1.003E-05, 0.5%, 1.893E+00, 0.3%, 1.109E-09, 6.4%, 1.459E+00, 4.3%, 7.692E-08, 0.8%, 1.183E+00, 0.7%, 1.003E-05, 0.5%, 1.893E+00, 0.3%, 1.109E-09, 6.4%, 1.459E+00, 4.3%
