IRL, Te-, +-, E1, +-, Tph, +-, E2, +-, Te+, +-, E3, +-, Pe-, +-, E4, +-, Pph, +-, E5, +-, Pe+, +-, E6, +-
155, 5.345E-08, 0.8%, 1.205E+00, 0.7%, 2.757E-06, 0.6%, 2.311E+00, 0.4%, 9.996E-10, 5.6%, 1.264E+00, 3.6%, 5.038E-08, 0.9%, 1.266E+00, 0.7%, 2.755E-06, 0.6%, 2.312E+00, 0.4%, 9.996E-10, 5.6%, 1.264E+00, 3.6%
156, 5.225E-08, 0.8%, 1.201E+00, 0.7%, 2.708E-06, 0.6%, 2.318E+00, 0.4%, 1.015E-09, 5.6%, 1.242E+00, 3.7%, 4.925E-08, 0.9%, 1.263E+00, 0.7%, 2.706E-06, 0.6%, 2.319E+00, 0.4%, 1.015E-09, 5.6%, 1.242E+00, 3.7%
157, 5.140E-08, 0.9%, 1.214E+00, 0.7%, 2.663E-06, 0.6%, 2.323E+00, 0.4%, 9.090E-10, 6.1%, 1.271E+00, 4.3%, 4.851E-08, 0.9%, 1.275E+00, 0.7%, 2.661E-06, 0.6%, 2.325E+00, 0.4%, 9.090E-10, 6.1%, 1.271E+00, 4.3%
158, 5.001E-08, 0.9%, 1.208E+00, 0.7%, 2.619E-06, 0.6%, 2.329E+00, 0.4%, 9.295E-10, 5.8%, 1.167E+00, 3.9%, 4.710E-08, 0.9%, 1.270E+00, 0.7%, 2.617E-06, 0.6%, 2.331E+00, 0.4%, 9.295E-10, 5.8%, 1.167E+00, 3.9%
159, 4.964E-08, 0.9%, 1.204E+00, 0.7%, 2.577E-06, 0.6%, 2.334E+00, 0.4%, 9.582E-10, 5.8%, 1.202E+00, 3.8%, 4.679E-08, 0.9%, 1.266E+00, 0.7%, 2.576E-06, 0.6%, 2.335E+00, 0.4%, 9.582E-10, 5.8%, 1.202E+00, 3.8%
160, 4.834E-08, 0.9%, 1.211E+00, 0.7%, 2.532E-06, 0.6%, 2.339E+00, 0.4%, 9.492E-10, 5.9%, 1.211E+00, 3.9%, 4.563E-08, 0.9%, 1.273E+00, 0.7%, 2.531E-06, 0.6%, 2.340E+00, 0.4%, 9.492E-10, 5.9%, 1.211E+00, 3.9%
161, 4.830E-08, 0.9%, 1.208E+00, 0.8%, 2.486E-06, 0.6%, 2.346E+00, 0.4%, 8.766E-10, 6.2%, 1.290E+00, 4.5%, 4.551E-08, 0.9%, 1.271E+00, 0.7%, 2.484E-06, 0.6%, 2.347E+00, 0.4%, 8.766E-10, 6.2%, 1.290E+00, 4.5%
162, 4.664E-08, 0.9%, 1.222E+00, 0.8%, 2.447E-06, 0.6%, 2.350E+00, 0.4%, 1.020E-09, 5.5%, 1.253E+00, 3.5%, 4.394E-08, 0.9%, 1.286E+00, 0.8%, 2.445E-06, 0.6%, 2.352E+00, 0.4%, 1.020E-09, 5.5%, 1.253E+00, 3.5%
163, 4.687E-08, 0.9%, 1.222E+00, 0.8%, 2.404E-06, 0.6%, 2.356E+00, 0.4%, 8.598E-10, 5.9%, 1.126E+00, 4.5%, 4.416E-08, 0.9%, 1.285E+00, 0.8%, 2.402E-06, 0.6%, 2.358E+00, 0.4%, 8.598E-10, 5.9%, 1.126E+00, 4.5%
164, 4.613E-08, 0.9%, 1.224E+00, 0.8%, 2.364E-06, 0.6%, 2.362E+00, 0.4%, 8.650E-10, 6.1%, 1.221E+00, 5.0%, 4.354E-08, 0.9%, 1.286E+00, 0.7%, 2.363E-06, 0.6%, 2.363E+00, 0.4%, 8.650E-10, 6.1%, 1.221E+00, 5.0%
165, 3.514E-08, 0.2%, 1.249E+00, 0.2%, 1.712E-06, 0.6%, 2.460E+00, 0.4%, 7.063E-10, 1.2%, 1.212E+00, 0.9%, 3.307E-08, 0.2%, 1.315E+00, 0.2%, 1.711E-06, 0.6%, 2.461E+00, 0.4%, 7.063E-10, 1.2%, 1.212E+00, 0.9%
166, 4.858E-11, 2.5%, 8.933E-01, 2.0%, 9.584E-09, 0.5%, 1.588E+00, 0.3%, 9.838E-13, 11.3%, 1.097E+00, 4.8%, 4.639E-11, 2.5%, 9.301E-01, 2.0%, 9.524E-09, 0.5%, 1.596E+00, 0.3%, 9.838E-13, 11.3%, 1.097E+00, 4.8%
167, 7.952E-11, 1.8%, 9.163E-01, 1.2%, 9.683E-09, 0.5%, 1.570E+00, 0.3%, 1.490E-12, 11.2%, 9.912E-01, 6.0%, 7.538E-11, 1.8%, 9.587E-01, 1.2%, 9.620E-09, 0.5%, 1.578E+00, 0.3%, 1.490E-12, 11.2%, 9.912E-01, 6.0%
168, 1.025E-10, 1.6%, 9.434E-01, 0.9%, 9.749E-09, 0.5%, 1.557E+00, 0.3%, 1.728E-12, 8.3%, 1.044E+00, 4.4%, 9.729E-11, 1.6%, 9.857E-01, 0.9%, 9.684E-09, 0.5%, 1.565E+00, 0.3%, 1.728E-12, 8.3%, 1.044E+00, 4.4%
169, 1.187E-10, 1.4%, 9.600E-01, 0.8%, 9.816E-09, 0.5%, 1.544E+00, 0.3%, 2.053E-12, 8.0%, 1.030E+00, 4.7%, 1.123E-10, 1.4%, 1.005E+00, 0.8%, 9.747E-09, 0.5%, 1.552E+00, 0.3%, 2.053E-12, 8.0%, 1.030E+00, 4.7%
170, 1.293E-10, 1.3%, 9.740E-01, 0.7%, 9.865E-09, 0.5%, 1.533E+00, 0.3%, 2.083E-12, 7.2%, 1.090E+00, 3.8%, 1.223E-10, 1.3%, 1.021E+00, 0.7%, 9.794E-09, 0.5%, 1.542E+00, 0.3%, 2.083E-12, 7.2%, 1.090E+00, 3.8%
171, 1.380E-10, 1.2%, 9.881E-01, 0.7%, 9.913E-09, 0.5%, 1.523E+00, 0.3%, 2.103E-12, 5.9%, 1.063E+00, 3.7%, 1.302E-10, 1.2%, 1.037E+00, 0.7%, 9.840E-09, 0.5%, 1.532E+00, 0.3%, 2.103E-12, 5.9%, 1.063E+00, 3.7%
172, 1.455E-10, 1.2%, 9.981E-01, 0.7%, 9.960E-09, 0.5%, 1.514E+00, 0.3%, 2.203E-12, 6.0%, 1.050E+00, 3.7%, 1.377E-10, 1.2%, 1.045E+00, 0.7%, 9.886E-09, 0.5%, 1.522E+00, 0.4%, 2.203E-12, 6.0%, 1.050E+00, 3.7%
173, 1.514E-10, 1.2%, 9.948E-01, 0.7%, 9.997E-09, 0.5%, 1.505E+00, 0.3%, 2.376E-12, 8.2%, 1.148E+00, 4.7%, 1.429E-10, 1.1%, 1.043E+00, 0.7%, 9.922E-09, 0.5%, 1.513E+00, 0.3%, 2.376E-12, 8.2%, 1.148E+00, 4.7%
174, 1.563E-10, 1.1%, 9.958E-01, 0.7%, 1.003E-08, 0.5%, 1.497E+00, 0.3%, 2.610E-12, 8.6%, 1.099E+00, 5.4%, 1.476E-10, 1.1%, 1.044E+00, 0.7%, 9.947E-09, 0.4%, 1.506E+00, 0.3%, 2.610E-12, 8.6%, 1.099E+00, 5.4%
175, 1.589E-10, 1.2%, 1.001E+00, 0.7%, 1.005E-08, 0.4%, 1.490E+00, 0.3%, 2.475E-12, 7.3%, 1.141E+00, 4.5%, 1.501E-10, 1.2%, 1.050E+00, 0.7%, 9.975E-09, 0.4%, 1.499E+00, 0.3%, 2.475E-12, 7.3%, 1.141E+00, 4.5%
176, 1.633E-10, 1.2%, 9.954E-01, 0.7%, 1.009E-08, 0.4%, 1.481E+00, 0.3%, 2.448E-12, 7.0%, 1.107E+00, 4.1%, 1.542E-10, 1.2%, 1.044E+00, 0.7%, 1.001E-08, 0.4%, 1.490E+00, 0.3%, 2.448E-12, 7.0%, 1.107E+00, 4.1%
177, 1.623E-10, 1.1%, 1.000E+00, 0.7%, 1.012E-08, 0.5%, 1.474E+00, 0.3%, 2.476E-12, 8.9%, 1.088E+00, 4.4%, 1.532E-10, 1.1%, 1.050E+00, 0.7%, 1.004E-08, 0.5%, 1.483E+00, 0.3%, 2.476E-12, 8.9%, 1.088E+00, 4.4%
178, 1.644E-10, 1.2%, 1.002E+00, 0.7%, 1.014E-08, 0.4%, 1.467E+00, 0.3%, 2.481E-12, 8.6%, 1.184E+00, 6.3%, 1.555E-10, 1.2%, 1.050E+00, 0.7%, 1.005E-08, 0.4%, 1.477E+00, 0.3%, 2.481E-12, 8.6%, 1.184E+00, 6.3%
179, 1.634E-10, 1.2%, 1.006E+00, 0.7%, 1.016E-08, 0.4%, 1.461E+00, 0.3%, 2.546E-12, 8.8%, 1.161E+00, 5.9%, 1.544E-10, 1.2%, 1.055E+00, 0.7%, 1.007E-08, 0.4%, 1.470E+00, 0.3%, 2.546E-12, 8.8%, 1.161E+00, 5.9%
180, 1.633E-10, 1.1%, 1.001E+00, 0.7%, 1.018E-08, 0.4%, 1.454E+00, 0.3%, 2.182E-12, 5.0%, 1.148E+00, 3.9%, 1.542E-10, 1.1%, 1.050E+00, 0.7%, 1.010E-08, 0.4%, 1.463E+00, 0.3%, 2.182E-12, 5.0%, 1.148E+00, 3.9%
181, 1.636E-10, 1.2%, 1.005E+00, 0.7%, 1.020E-08, 0.4%, 1.448E+00, 0.3%, 2.380E-12, 7.0%, 1.079E+00, 4.3%, 1.546E-10, 1.2%, 1.054E+00, 0.7%, 1.012E-08, 0.4%, 1.457E+00, 0.4%, 2.380E-12, 7.0%, 1.079E+00, 4.3%
182, 1.643E-10, 1.2%, 1.004E+00, 0.7%, 1.021E-08, 0.4%, 1.443E+00, 0.3%, 2.412E-12, 7.9%, 1.046E+00, 3.8%, 1.553E-10, 1.1%, 1.053E+00, 0.7%, 1.012E-08, 0.4%, 1.452E+00, 0.4%, 2.412E-12, 7.9%, 1.046E+00, 3.8%
183, 1.647E-10, 1.2%, 9.966E-01, 0.6%, 1.023E-08, 0.4%, 1.438E+00, 0.3%, 2.448E-12, 7.5%, 1.022E+00, 4.6%, 1.555E-10, 1.1%, 1.046E+00, 0.6%, 1.014E-08, 0.4%, 1.447E+00, 0.4%, 2.448E-12, 7.5%, 1.022E+00, 4.6%
184, 1.651E-10, 1.2%, 9.949E-01, 0.7%, 1.024E-08, 0.4%, 1.432E+00, 0.3%, 2.389E-12, 7.4%, 1.066E+00, 4.4%, 1.558E-10, 1.2%, 1.044E+00, 0.7%, 1.015E-08, 0.4%, 1.442E+00, 0.4%, 2.389E-12, 7.4%, 1.066E+00, 4.4%
185, 1.645E-10, 1.2%, 1.003E+00, 0.7%, 1.025E-08, 0.4%, 1.427E+00, 0.3%, 2.471E-12, 10.5%, 1.086E+00, 3.4%, 1.554E-10, 1.2%, 1.053E+00, 0.7%, 1.016E-08, 0.4%, 1.437E+00, 0.3%, 2.471E-12, 10.5%, 1.086E+00, 3.4%
186, 1.654E-10, 1.2%, 9.937E-01, 0.7%, 1.027E-08, 0.4%, 1.422E+00, 0.3%, 2.541E-12, 8.6%, 1.016E+00, 4.6%, 1.562E-10, 1.2%, 1.042E+00, 0.7%, 1.018E-08, 0.4%, 1.431E+00, 0.3%, 2.541E-12, 8.6%, 1.016E+00, 4.6%
187, 1.649E-10, 1.2%, 9.865E-01, 0.7%, 1.028E-08, 0.5%, 1.416E+00, 0.3%, 2.360E-12, 8.3%, 1.079E+00, 4.1%, 1.556E-10, 1.2%, 1.036E+00, 0.7%, 1.019E-08, 0.5%, 1.426E+00, 0.4%, 2.360E-12, 8.3%, 1.079E+00, 4.1%
188, 1.621E-10, 1.1%, 9.912E-01, 0.6%, 1.027E-08, 0.4%, 1.413E+00, 0.3%, 2.310E-12, 8.1%, 1.128E+00, 4.0%, 1.531E-10, 1.1%, 1.039E+00, 0.6%, 1.018E-08, 0.4%, 1.423E+00, 0.3%, 2.310E-12, 8.1%, 1.128E+00, 4.0%
189, 1.618E-10, 1.1%, 9.863E-01, 0.7%, 1.029E-08, 0.5%, 1.408E+00, 0.3%, 2.141E-12, 5.5%, 1.143E+00, 2.8%, 1.530E-10, 1.1%, 1.033E+00, 0.7%, 1.020E-08, 0.4%, 1.417E+00, 0.4%, 2.141E-12, 5.5%, 1.143E+00, 2.8%
190, 1.604E-10, 1.1%, 9.857E-01, 0.6%, 1.029E-08, 0.5%, 1.404E+00, 0.3%, 2.238E-12, 6.5%, 1.125E+00, 2.8%, 1.518E-10, 1.1%, 1.032E+00, 0.7%, 1.019E-08, 0.4%, 1.414E+00, 0.4%, 2.238E-12, 6.5%, 1.125E+00, 2.8%
191, 1.602E-10, 1.1%, 9.838E-01, 0.6%, 1.027E-08, 0.4%, 1.403E+00, 0.3%, 2.289E-12, 7.1%, 1.111E+00, 2.4%, 1.514E-10, 1.1%, 1.031E+00, 0.6%, 1.018E-08, 0.4%, 1.412E+00, 0.4%, 2.289E-12, 7.1%, 1.111E+00, 2.4%
192, 1.616E-10, 1.2%, 9.775E-01, 0.7%, 1.027E-08, 0.4%, 1.399E+00, 0.3%, 2.406E-12, 8.8%, 1.033E+00, 3.0%, 1.525E-10, 1.2%, 1.026E+00, 0.7%, 1.018E-08, 0.4%, 1.409E+00, 0.4%, 2.406E-12, 8.8%, 1.033E+00, 3.0%
193, 1.597E-10, 1.2%, 9.801E-01, 0.6%, 1.028E-08, 0.4%, 1.394E+00, 0.3%, 2.293E-12, 6.6%, 1.028E+00, 3.7%, 1.508E-10, 1.2%, 1.029E+00, 0.6%, 1.018E-08, 0.4%, 1.404E+00, 0.4%, 2.293E-12, 6.6%, 1.028E+00, 3.7%
194, 1.568E-10, 1.1%, 9.881E-01, 0.7%, 1.027E-08, 0.4%, 1.392E+00, 0.3%, 2.285E-12, 6.7%, 1.072E+00, 3.6%, 1.477E-10, 1.1%, 1.038E+00, 0.7%, 1.017E-08, 0.4%, 1.402E+00, 0.4%, 2.285E-12, 6.7%, 1.072E+00, 3.6%
195, 1.571E-10, 1.1%, 9.903E-01, 0.6%, 1.025E-08, 0.4%, 1.390E+00, 0.3%, 2.332E-12, 7.2%, 1.094E+00, 4.7%, 1.485E-10, 1.1%, 1.038E+00, 0.6%, 1.015E-08, 0.4%, 1.400E+00, 0.3%, 2.332E-12, 7.2%, 1.094E+00, 4.7%
196, 1.588E-10, 1.2%, 9.815E-01, 0.6%, 1.024E-08, 0.4%, 1.387E+00, 0.3%, 2.356E-12, 7.6%, 1.100E+00, 4.4%, 1.501E-10, 1.2%, 1.029E+00, 0.7%, 1.014E-08, 0.4%, 1.397E+00, 0.4%, 2.356E-12, 7.6%, 1.100E+00, 4.4%
197, 1.583E-10, 1.1%, 9.832E-01, 0.7%, 1.024E-08, 0.4%, 1.383E+00, 0.3%, 2.417E-12, 8.1%, 1.073E+00, 3.8%, 1.497E-10, 1.1%, 1.030E+00, 0.7%, 1.014E-08, 0.4%, 1.394E+00, 0.3%, 2.417E-12, 8.1%, 1.073E+00, 3.8%
198, 1.588E-10, 1.2%, 9.867E-01, 0.7%, 1.023E-08, 0.4%, 1.381E+00, 0.3%, 2.513E-12, 8.1%, 1.016E+00, 4.1%, 1.495E-10, 1.1%, 1.037E+00, 0.7%, 1.013E-08, 0.4%, 1.391E+00, 0.4%, 2.513E-12, 8.1%, 1.016E+00, 4.1%
199, 1.587E-10, 1.2%, 9.855E-01, 0.7%, 1.021E-08, 0.4%, 1.379E+00, 0.3%, 2.535E-12, 8.9%, 1.011E+00, 4.3%, 1.496E-10, 1.2%, 1.035E+00, 0.7%, 1.012E-08, 0.4%, 1.389E+00, 0.4%, 2.535E-12, 8.9%, 1.011E+00, 4.3%
200, 1.561E-10, 1.2%, 9.866E-01, 0.7%, 1.020E-08, 0.4%, 1.378E+00, 0.3%, 2.322E-12, 7.7%, 1.001E+00, 4.3%, 1.474E-10, 1.2%, 1.034E+00, 0.7%, 1.010E-08, 0.4%, 1.387E+00, 0.4%, 2.322E-12, 7.7%, 1.001E+00, 4.3%
201, 1.556E-10, 1.2%, 9.809E-01, 0.7%, 1.018E-08, 0.4%, 1.376E+00, 0.3%, 2.058E-12, 5.4%, 1.059E+00, 3.1%, 1.466E-10, 1.1%, 1.030E+00, 0.7%, 1.008E-08, 0.4%, 1.386E+00, 0.4%, 2.058E-12, 5.4%, 1.059E+00, 3.1%
202, 1.551E-10, 1.2%, 9.875E-01, 0.7%, 1.016E-08, 0.4%, 1.375E+00, 0.3%, 2.108E-12, 6.4%, 1.040E+00, 3.7%, 1.464E-10, 1.1%, 1.036E+00, 0.7%, 1.006E-08, 0.4%, 1.385E+00, 0.4%, 2.108E-12, 6.4%, 1.040E+00, 3.7%
203, 1.551E-10, 1.2%, 9.780E-01, 0.7%, 1.014E-08, 0.4%, 1.373E+00, 0.3%, 2.390E-12, 8.8%, 1.020E+00, 4.5%, 1.463E-10, 1.1%, 1.026E+00, 0.7%, 1.005E-08, 0.4%, 1.383E+00, 0.3%, 2.390E-12, 8.8%, 1.020E+00, 4.5%
204, 1.531E-10, 1.1%, 9.830E-01, 0.7%, 1.013E-08, 0.4%, 1.371E+00, 0.4%, 2.109E-12, 6.1%, 1.075E+00, 3.1%, 1.448E-10, 1.1%, 1.030E+00, 0.7%, 1.004E-08, 0.4%, 1.381E+00, 0.4%, 2.109E-12, 6.1%, 1.075E+00, 3.1%
205, 1.526E-10, 1.1%, 9.836E-01, 0.6%, 1.011E-08, 0.4%, 1.370E+00, 0.3%, 1.977E-12, 6.5%, 1.089E+00, 3.5%, 1.443E-10, 1.1%, 1.031E+00, 0.6%, 1.001E-08, 0.4%, 1.380E+00, 0.3%, 1.977E-12, 6.5%, 1.089E+00, 3.5%
206, 1.516E-10, 1.1%, 9.816E-01, 0.6%, 1.008E-08, 0.4%, 1.369E+00, 0.3%, 1.905E-12, 5.1%, 1.123E+00, 1.8%, 1.434E-10, 1.1%, 1.029E+00, 0.6%, 9.981E-09, 0.4%, 1.379E+00, 0.3%, 1.905E-12, 5.1%, 1.123E+00, 1.8%
207, 1.509E-10, 1.1%, 9.890E-01, 0.7%, 1.005E-08, 0.4%, 1.368E+00, 0.3%, 1.990E-12, 6.0%, 1.105E+00, 3.5%, 1.423E-10, 1.1%, 1.038E+00, 0.7%, 9.954E-09, 0.4%, 1.379E+00, 0.3%, 1.990E-12, 6.0%, 1.105E+00, 3.5%
208, 1.521E-10, 1.1%, 9.834E-01, 0.6%, 1.003E-08, 0.4%, 1.367E+00, 0.3%, 2.137E-12, 6.6%, 1.078E+00, 4.2%, 1.437E-10, 1.1%, 1.031E+00, 0.7%, 9.932E-09, 0.4%, 1.377E+00, 0.4%, 2.137E-12, 6.6%, 1.078E+00, 4.2%
209, 1.517E-10, 1.2%, 9.864E-01, 0.6%, 9.997E-09, 0.4%, 1.367E+00, 0.3%, 2.179E-12, 7.2%, 1.058E+00, 4.5%, 1.432E-10, 1.2%, 1.035E+00, 0.6%, 9.897E-09, 0.4%, 1.378E+00, 0.3%, 2.179E-12, 7.2%, 1.058E+00, 4.5%
210, 1.524E-10, 1.2%, 9.828E-01, 0.7%, 9.968E-09, 0.4%, 1.367E+00, 0.3%, 2.348E-12, 9.2%, 1.020E+00, 4.9%, 1.438E-10, 1.2%, 1.032E+00, 0.7%, 9.868E-09, 0.4%, 1.377E+00, 0.4%, 2.348E-12, 9.2%, 1.020E+00, 4.9%
211, 1.505E-10, 1.1%, 9.816E-01, 0.7%, 9.942E-09, 0.4%, 1.367E+00, 0.3%, 2.037E-12, 7.3%, 1.073E+00, 4.4%, 1.421E-10, 1.1%, 1.030E+00, 0.7%, 9.839E-09, 0.4%, 1.377E+00, 0.3%, 2.037E-12, 7.3%, 1.073E+00, 4.4%
212, 1.484E-10, 1.1%, 9.881E-01, 0.7%, 9.899E-09, 0.4%, 1.368E+00, 0.3%, 2.015E-12, 8.2%, 1.088E+00, 3.9%, 1.404E-10, 1.1%, 1.035E+00, 0.7%, 9.801E-09, 0.4%, 1.378E+00, 0.3%, 2.015E-12, 8.2%, 1.088E+00, 3.9%
213, 1.480E-10, 1.1%, 9.880E-01, 0.6%, 9.852E-09, 0.4%, 1.370E+00, 0.3%, 2.028E-12, 6.5%, 1.063E+00, 3.6%, 1.397E-10, 1.1%, 1.037E+00, 0.6%, 9.753E-09, 0.4%, 1.380E+00, 0.3%, 2.028E-12, 6.5%, 1.063E+00, 3.6%
214, 1.489E-10, 1.1%, 9.857E-01, 0.7%, 9.811E-09, 0.4%, 1.371E+00, 0.3%, 2.140E-12, 6.6%, 1.082E+00, 2.8%, 1.408E-10, 1.1%, 1.033E+00, 0.7%, 9.713E-09, 0.4%, 1.381E+00, 0.4%, 2.140E-12, 6.6%, 1.082E+00, 2.8%
215, 1.493E-10, 1.1%, 9.880E-01, 0.7%, 9.737E-09, 0.4%, 1.375E+00, 0.3%, 2.407E-12, 10.0%, 1.033E+00, 2.7%, 1.410E-10, 1.1%, 1.036E+00, 0.7%, 9.642E-09, 0.4%, 1.385E+00, 0.3%, 2.407E-12, 10.0%, 1.033E+00, 2.7%
216, 1.484E-10, 1.2%, 9.949E-01, 0.7%, 9.664E-09, 0.4%, 1.381E+00, 0.3%, 2.313E-12, 9.8%, 1.029E+00, 4.9%, 1.401E-10, 1.2%, 1.044E+00, 0.7%, 9.570E-09, 0.4%, 1.391E+00, 0.3%, 2.313E-12, 9.8%, 1.029E+00, 4.9%
217, 1.497E-10, 1.3%, 9.857E-01, 0.7%, 9.619E-09, 0.4%, 1.383E+00, 0.3%, 2.270E-12, 13.1%, 1.009E+00, 5.8%, 1.413E-10, 1.3%, 1.035E+00, 0.7%, 9.524E-09, 0.4%, 1.393E+00, 0.3%, 2.270E-12, 13.1%, 1.009E+00, 5.8%
218, 1.504E-10, 1.3%, 9.773E-01, 0.7%, 9.580E-09, 0.4%, 1.385E+00, 0.3%, 1.975E-12, 6.1%, 1.026E+00, 4.0%, 1.419E-10, 1.3%, 1.025E+00, 0.7%, 9.486E-09, 0.4%, 1.396E+00, 0.3%, 1.975E-12, 6.1%, 1.026E+00, 4.0%
219, 1.482E-10, 1.2%, 9.810E-01, 0.7%, 9.549E-09, 0.4%, 1.387E+00, 0.3%, 1.924E-12, 5.8%, 1.041E+00, 3.5%, 1.398E-10, 1.2%, 1.030E+00, 0.7%, 9.456E-09, 0.4%, 1.397E+00, 0.3%, 1.924E-12, 5.8%, 1.041E+00, 3.5%
220, 1.487E-10, 1.3%, 9.775E-01, 0.7%, 9.514E-09, 0.4%, 1.388E+00, 0.3%, 1.908E-12, 6.3%, 1.054E+00, 3.3%, 1.409E-10, 1.3%, 1.022E+00, 0.7%, 9.422E-09, 0.4%, 1.398E+00, 0.3%, 1.908E-12, 6.3%, 1.054E+00, 3.3%
221, 1.474E-10, 1.3%, 9.786E-01, 0.7%, 9.487E-09, 0.4%, 1.388E+00, 0.3%, 1.933E-12, 6.5%, 1.053E+00, 3.5%, 1.393E-10, 1.3%, 1.026E+00, 0.7%, 9.395E-09, 0.4%, 1.399E+00, 0.3%, 1.933E-12, 6.5%, 1.053E+00, 3.5%
222, 1.465E-10, 1.3%, 9.814E-01, 0.7%, 9.468E-09, 0.4%, 1.388E+00, 0.3%, 1.971E-12, 8.1%, 1.045E+00, 4.5%, 1.386E-10, 1.3%, 1.028E+00, 0.7%, 9.376E-09, 0.4%, 1.398E+00, 0.3%, 1.971E-12, 8.1%, 1.045E+00, 4.5%
223, 1.460E-10, 1.2%, 9.702E-01, 0.7%, 9.439E-09, 0.4%, 1.389E+00, 0.3%, 1.935E-12, 6.2%, 1.056E+00, 3.0%, 1.380E-10, 1.2%, 1.018E+00, 0.7%, 9.346E-09, 0.4%, 1.399E+00, 0.3%, 1.935E-12, 6.2%, 1.056E+00, 3.0%
224, 1.439E-10, 1.2%, 9.741E-01, 0.7%, 9.415E-09, 0.4%, 1.389E+00, 0.3%, 2.017E-12, 7.3%, 1.048E+00, 5.2%, 1.360E-10, 1.2%, 1.021E+00, 0.7%, 9.322E-09, 0.4%, 1.399E+00, 0.3%, 2.017E-12, 7.3%, 1.048E+00, 5.2%
225, 1.431E-10, 1.2%, 9.774E-01, 0.7%, 9.389E-09, 0.4%, 1.389E+00, 0.3%, 2.015E-12, 7.1%, 1.055E+00, 4.8%, 1.356E-10, 1.2%, 1.022E+00, 0.7%, 9.296E-09, 0.4%, 1.399E+00, 0.3%, 2.015E-12, 7.1%, 1.055E+00, 4.8%
226, 1.420E-10, 1.2%, 9.811E-01, 0.8%, 9.375E-09, 0.4%, 1.388E+00, 0.3%, 2.048E-12, 8.1%, 1.057E+00, 4.7%, 1.342E-10, 1.2%, 1.029E+00, 0.8%, 9.283E-09, 0.4%, 1.398E+00, 0.3%, 2.048E-12, 8.1%, 1.057E+00, 4.7%
227, 1.413E-10, 1.2%, 9.863E-01, 0.7%, 9.366E-09, 0.4%, 1.386E+00, 0.3%, 2.064E-12, 9.1%, 1.081E+00, 6.7%, 1.335E-10, 1.2%, 1.034E+00, 0.7%, 9.273E-09, 0.4%, 1.397E+00, 0.3%, 2.064E-12, 9.1%, 1.081E+00, 6.7%
228, 1.418E-10, 1.2%, 9.860E-01, 0.7%, 9.349E-09, 0.4%, 1.386E+00, 0.3%, 2.008E-12, 6.5%, 1.132E+00, 5.6%, 1.344E-10, 1.2%, 1.032E+00, 0.7%, 9.257E-09, 0.4%, 1.396E+00, 0.3%, 2.008E-12, 6.5%, 1.132E+00, 5.6%
229, 1.417E-10, 1.2%, 9.806E-01, 0.7%, 9.333E-09, 0.4%, 1.385E+00, 0.3%, 1.963E-12, 6.9%, 1.159E+00, 4.7%, 1.340E-10, 1.2%, 1.027E+00, 0.7%, 9.241E-09, 0.4%, 1.396E+00, 0.3%, 1.963E-12, 6.9%, 1.159E+00, 4.7%
230, 1.405E-10, 1.2%, 9.776E-01, 0.7%, 9.324E-09, 0.4%, 1.383E+00, 0.3%, 1.953E-12, 6.7%, 1.136E+00, 5.0%, 1.328E-10, 1.2%, 1.024E+00, 0.7%, 9.232E-09, 0.4%, 1.393E+00, 0.3%, 1.953E-12, 6.7%, 1.136E+00, 5.0%
231, 1.411E-10, 1.2%, 9.801E-01, 0.7%, 9.320E-09, 0.4%, 1.380E+00, 0.3%, 2.014E-12, 7.3%, 1.102E+00, 5.7%, 1.330E-10, 1.2%, 1.029E+00, 0.7%, 9.227E-09, 0.4%, 1.390E+00, 0.3%, 2.014E-12, 7.3%, 1.102E+00, 5.7%
232, 1.422E-10, 1.3%, 9.709E-01, 0.7%, 9.318E-09, 0.4%, 1.377E+00, 0.3%, 2.032E-12, 7.1%, 1.098E+00, 5.5%, 1.348E-10, 1.3%, 1.015E+00, 0.7%, 9.224E-09, 0.4%, 1.388E+00, 0.3%, 2.032E-12, 7.1%, 1.098E+00, 5.5%
233, 1.404E-10, 1.2%, 9.713E-01, 0.7%, 9.318E-09, 0.4%, 1.374E+00, 0.3%, 2.011E-12, 8.1%, 1.105E+00, 5.0%, 1.331E-10, 1.2%, 1.016E+00, 0.7%, 9.224E-09, 0.4%, 1.385E+00, 0.3%, 2.011E-12, 8.1%, 1.105E+00, 5.0%
234, 1.411E-10, 1.3%, 9.720E-01, 0.7%, 9.315E-09, 0.4%, 1.372E+00, 0.3%, 2.007E-12, 6.6%, 1.090E+00, 5.3%, 1.334E-10, 1.3%, 1.019E+00, 0.7%, 9.220E-09, 0.4%, 1.383E+00, 0.3%, 2.007E-12, 6.6%, 1.090E+00, 5.3%
235, 1.417E-10, 1.3%, 9.734E-01, 0.8%, 9.320E-09, 0.4%, 1.369E+00, 0.3%, 2.165E-12, 9.2%, 1.030E+00, 6.4%, 1.340E-10, 1.3%, 1.021E+00, 0.8%, 9.224E-09, 0.4%, 1.379E+00, 0.3%, 2.165E-12, 9.2%, 1.030E+00, 6.4%
